Season,Name,Team,Season,PA,AVG,BB%,K%,OBP,SLG,OPS,ISO,BABIP,O-Swing% (sc),Z-Contact% (sc),Barrel%,HardHit%,EV,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
2025,"Adam Frazier","- - -",2025,459,0.267303102,0.05664488,0.176470588,0.318777292,0.365155131,0.683932423,0.097852029,0.3125,0.31257344,0.88507463,0.02034884,0.20639535,85.2894100413603,0.2997353121376874,0.2808584497686018,"Adam Frazier",15223,624428
2019,"Adam Haseley","PHI",2019,242,0.265765765,0.057851239,0.247933884,0.323651452,0.396396396,0.720047848,0.130630631,0.343949044,0.29979879,0.85714286,0.03680982,0.28834356,87.31913700810185,0.3086882424851259,0.2690996487935384,"Adam Haseley",19878,656514
2015,"Adam Jones","BAL",2015,581,0.269230769,0.041308089,0.17555938,0.3080895,0.474358974,0.782448474,0.205128205,0.285714285,0.43909348,0.88340192,0.08948546,0.34451902,88.22278082289294,0.33418125697898204,0.3378086657950006,"Adam Jones",6368,430945
2016,"Adam Jones","BAL",2016,672,0.264943457,0.058035714,0.171130952,0.309985096,0.436187399,0.746172495,0.171243942,0.279503105,0.4216,0.84920635,0.07992203,0.34892788,88.809,0.31851158236530686,0.32769877115885415,"Adam Jones",6368,430945
2017,"Adam Jones","BAL",2017,635,0.284757118,0.042519685,0.177952755,0.321766561,0.465661641,0.787428202,0.180904523,0.312364425,0.40630182,0.86131387,0.06352459,0.30532787,86.81027253668763,0.33400149697564413,0.3172326454749474,"Adam Jones",6368,430945
2018,"Adam Jones","BAL",2018,613,0.281034482,0.039151712,0.151712887,0.313213703,0.418965517,0.73217922,0.137931035,0.310924369,0.38516533,0.88180611,0.04887984,0.32790224,88.3142594266529,0.3153007766779731,0.3103845929942115,"Adam Jones",6368,430945
2019,"Adam Jones","ARI",2019,528,0.259793814,0.058712121,0.191287878,0.313092979,0.414432989,0.727525968,0.154639175,0.296495956,0.3919598,0.87403994,0.06701031,0.30927835,86.17714082792207,0.3081856695810954,0.31830912272135414,"Adam Jones",6368,430945
2015,"Adam LaRoche","CHW",2015,484,0.207459207,0.101239669,0.274793388,0.293388429,0.34032634,0.633714769,0.132867133,0.269230769,0.24658972,0.84602076,0.08053691,0.3590604,89.57508380190312,0.28309747502823507,0.30190236775113966,"Adam LaRoche",1904,425560
2015,"Adam Lind","MIL",2015,572,0.27689243,0.115384615,0.174825174,0.36013986,0.460159362,0.820299222,0.183266932,0.309090909,0.32465278,0.88197767,0.07160494,0.36296296,89.51171875,0.350503947539338,0.3270511592954023,"Adam Lind",8027,452252
2016,"Adam Lind","SEA",2016,430,0.239401496,0.060465116,0.206976744,0.286046511,0.431421446,0.717467957,0.19201995,0.258503401,0.34678436,0.88843813,0.08598726,0.42675159,91.19551282051282,0.30408264379032324,0.3260517434512868,"Adam Lind",8027,452252
2017,"Adam Lind","WSN",2017,301,0.303370786,0.093023255,0.156146179,0.362126245,0.513108614,0.875234859,0.209737828,0.316037735,0.29326047,0.8953168,0.0840708,0.44690265,90.6612647804054,0.36274008392482193,0.36973582228569135,"Adam Lind",8027,452252
2016,"Adam Rosales","SDP",2016,248,0.228971962,0.116935483,0.354838709,0.318548387,0.495327102,0.813875489,0.26635514,0.307692307,0.2462406,0.75649351,0.11538462,0.39230769,89.64538762019231,0.33991363862665686,0.2997985157540174,"Adam Rosales",9682,489267
2017,"Adam Rosales","- - -",2017,312,0.224913494,0.03525641,0.32051282,0.259740259,0.352941176,0.612681435,0.128027682,0.311827956,0.25082508,0.75058275,0.03045685,0.32994924,87.73031811003989,0.2612846864551209,0.22701781674435265,"Adam Rosales",9682,489267
2024,"Addison Barger","TOR",2024,225,0.197115384,0.062222222,0.266666666,0.25,0.350961538,0.600961538,0.153846154,0.239436619,0.30769231,0.84558824,0.08666667,0.38,88.27483258928571,0.2624712219195707,0.29121632618947074,"Addison Barger",24598,680718
2025,"Addison Barger","TOR",2025,502,0.24347826,0.071713147,0.241035856,0.301397205,0.454347826,0.755745031,0.210869566,0.284375,0.29865772,0.85446686,0.11403509,0.50877193,91.67243630865103,0.32174157364747413,0.3424608011840575,"Addison Barger",24598,680718
2015,"Addison Russell","CHC",2015,523,0.242105263,0.080305927,0.284894837,0.306513409,0.389473684,0.695987093,0.147368421,0.323809523,0.28197674,0.8106267,0.05167173,0.29179331,86.78012179736025,0.30369667880810225,0.2691749646825698,"Addison Russell",14106,608365
2016,"Addison Russell","CHC",2016,598,0.238095238,0.091973244,0.225752508,0.321070234,0.417142857,0.738213091,0.179047619,0.277333333,0.27737226,0.80444965,0.09343434,0.31313131,87.60904190891473,0.3164214907667121,0.31363572340745194,"Addison Russell",14106,608365
